time,traceroute_num,renyi_entropy
0,0,0
1.0,0.0,1.34414310629467
2.0,0.0,0.8967133439113373
3.0,0.0,1.046188235850678
4.0,0.0,1.0850599638947556
5.0,0.0,1.1236880625636467
6.0,0.0,1.0264311101214643
7.0,0.0,0.9496465075179731
8.0,0.0,0.9485805511257682
9.0,0.0,0.9570667550455685
10.0,0.0,0.9783422841597054
11.0,0.0,1.091557391355463
12.0,0.0,1.1623336451183932
13.0,0.0,1.1675795022637554
14.0,0.0,1.1448353725368217
15.0,0.0,1.1448337835792426
16.0,0.0,1.1324320899601619
17.0,0.0,1.152625511422016
18.0,0.0,1.1503370326144173
19.0,0.0,1.1447212699819318
20.0,0.0,1.1491469210993634
21.0,0.0,1.1513837535268088
22.0,0.0,1.1752984572576386
23.0,0.0,1.1873110130626106
24.0,0.0,1.1900813771261198
25.0,0.0,1.1875210956896565
26.0,0.0,1.156496175617914
27.0,0.0,1.132931347300576
28.0,0.0,1.1205650092465993
29.0,0.0,1.1376299704037245
30.0,0.0,1.1536960635986369
31.0,0.0,1.1753126289874853
32.0,0.0,1.1706487839918978
33.0,0.0,1.1572865177853755
34.0,0.0,1.1279218280204713
35.0,0.0,1.0968934786157467
36.0,0.0,1.0786636928185303
37.0,0.0,1.0689234293039873
38.0,0.0,1.0949030432066948
39.0,0.0,1.0863599301787188
40.0,0.0,1.068630359759916
41.0,0.0,1.0554347405209348
42.0,0.0,1.0580265272169227
43.0,0.0,1.0612892522409567
44.0,0.0,1.0617251261606742
45.0,0.0,1.0790607401962082
46.0,0.0,1.0908170638550212
47.0,0.0,1.1098309707967116
48.0,0.0,1.1188732934004324
49.0,0.0,1.1198317670438054
50.0,0.0,1.120576269388537
51.0,0.0,1.116061444325703
52.0,0.0,1.1174319716964334
53.0,0.0,1.1147565145830896
54.0,0.0,1.1131062511395948
55.0,0.0,1.1181247118260975
56.0,0.0,1.1157561750882192
57.0,0.0,1.1162361211230394
58.0,0.0,1.1121722207094924
59.0,0.0,1.0994326593693744
60.0,0.0,1.084047240549965
61.0,0.0,1.0708573835636244
62.0,0.0,1.0626046511083937
63.0,0.0,1.054804704734063
